"title","lyrics","sheet_url","moment"
"A pomba voou","402
Ode XXIV de Salomão
A. A POMBA VOOU S. Mas os desenhos se perderam,
SOBRE A CABEÇA DO SENHOR e choravam os anjos do céu;
E SALMODIOU SOBRE ELE, os desenhos daqueles o
E O SENHOR MOSTROU que não quiseram fazer a sua vontade.
O DESENHO DO SEU AMOR,
DESENHO DE ARTE INEFÁVEL Porque o Senhor mostrou o seu caminho
PARA CADA HOMEM. e deu, àqueles que O seguem, .
o a graça de se revestirem da sua santidade.
S. E os abismos se abriram, |
e ouviram-se terríveis gritos A. A POMBA VOOU...
como de mulheres no parto,
eo Senhor destruiu os abismos
com a luz da sua vitória.
A. A POMBA VOOU...
402","https://media.ressuscitou.pt/book/a_pomba_voou.png","Laudes|Comunhão|Verde"
"A voz do meu amado","11
travessão: 4.º trasto Cântico dos Cânticos 2, 8-17
S. Avoz do meu amado! já se ouve o canto da rola;
Eilo que vem, brotam da figueira os rebentos,
saltando pelos montes, e a vinha exala o seu perfume.
brincando pelas colinas. |
A. LEVANTA-TE, Ó MINHA AMADA...
Semelhante é o meu amado a uma gazela,
como um veadinho, S. Pomba minha, nas fendas das rochas,
semelhante é o meu amado a uma gazela. nos esconderijos escarpados,
deixa-me ouvir a tua voz,
Ei-lo que já pára deixa-me ouvir a tua voz.
atrás da nossa cerca,
e olha pela janela, Caçai-nos as raposas,
espreita pelas grades. as raposas pequenas
Começa a falar o meu amado e me diz: que devastam a nossa vinha,
porque a nossa vinha está em flor. (BIS A)
A. LEVANTA-TE, Ó MINHA AMADA, |
LEVANTA-TE, (BIS) O meu amado é para mim,
FORMOSA MINHA, E VEM. e eu sou para o meu amado,
antes que sopre a brisa,
S. Olha que o Inverno já BasSdU, e se alonguem as sombras da morte.
já se foi o tempo das chuvas; |
aparecem as flores sobre a terra, A. RETORNA, RETORNA, RETORNA. (BIS )
o tempo das canções já chegou,
A. LEVANTA-TE, Ó MINHA AMADA...
11","https://media.ressuscitou.pt/book/a_voz_do_meu_amado.png","Branco|Páscoa - Pentecostes|Comunhão"
"Abba, Pai","12
Romanos 8, 15-17

S. Abba, Pai, Pai!
Nós não recebemos
um espírito de servos

|

para recair no temor,
para recair no temor.

A. ESTE MESMO ESPÍRITO
DÁ TESTEMUNHO
AO NOSSO ESPÍRITO
DE QUE SOMOS FILHOS DE DEUS.
E SE FILHOS,
TAMBÉM HERDEIROS,
CO-HERDEIROS DE CRISTO,
HERDEIROS DE DEUS.
E SE FILHOS,
TAMBÉM HERDEIROS,
CO-HERDEIROS DE CRISTO,
HERDEIROS DE DEUS.
ABBA, PAI, PAI!

12","https://media.ressuscitou.pt/book/abba_pai.png","Branco|Laudes|Comunhão"
"Abraão","13
Teofania de Mambré - Génesis 18, 1-5
S. Fazia calor naquele dia, S. “Trar-Vos-ei um pouco de água,

quando Abraão estava sentado lavareis os pés
diante da sua tenda. e repousareis à sombra.

Trar-Vos-ei comida, reconfortar-Vos-eis
Fazia calor naquele dia, e depois seguireis adiante.
quando Abraão estava sentado
junto ao carvalho de Mambré. Não foi por acaso

que passastes hoje diante de mim.”
Erguendo os olhos, viu
três homens de pé, A. Ó MEU SENHOR, NÃO PASSES, TE ROGO,
que estavam à sua frente. SEM TE DETERES, SEM TE DETERES.

SEM TE DETERES, NÃO PASSES, TE ROGO,
Apenas os viu, SEM TE DETERES, SEM TE DETERES.
prostrou-se por terra e disse:
“Ó meu Senhor
não passes, te rogo sem te deteres.”

A. SEM TE DETERES, NÃO PASSES, TE ROGO,
SEM TE DETERES, SEM TE DETERES.
13","https://media.ressuscitou.pt/book/abraao.png","Branco|Laudes|Entrada"
"Aclamai o Senhor","14
Salmo 100 (99)
A. ACLAMAI O SENHOR, S. Bendizei o seu nome, |
TODA A TERRA, dando-Lhe graças.
SERVI O SENHOR COM ALEGRIA.
A. ACLAMAI O SENHOR...
S. Aproximai-vos d'Ele,
com gritos de júbilo.
S. Porque o Senhor é bom,
é eterno o seu amor,
A. ACLAMAI O SENHOR...
é eterno o seu amor por nós.
S. Porque o Senhor é o nosso Deus, |
A. ACLAMAI O SENHOR...
e nós somos o seu povo.
A. ACLAMAI O SENHOR...
S. Entrai por suas portas,
com hinos de alegria.
A. ACLAMAI O SENHOR...
14","https://media.ressuscitou.pt/book/aclamai_o_senhor.png","Branco|Final|Laudes"
"Aclamação ao Evangelho – Aleluia","LITÚRGICOS
| 201
Apropriado para os tempos de Advento, Páscoa e Comum

- | |
A. ALELUIA, ALELUIA, ALELUIA, ALELUIA. A. ALELUIA, ALELUIA, ALELUIA.

ALELUIA, ALELUIA, ALELUIA, ALELUIA. ALELUIA, ALELUIA, ALELUIA.

; |, I 5 |

S. Eusoua vide e vós os ramos. S. Eusou a vide e vós os ramos.

Quem permanece em Mim, e Eu nele, Quem permanece em Mim, e Eu nele,

dará muito fruto. dará muito fruto.

J:

A. ALELUIA... A. ALELUIA...

com a melodia de: “Aleluia, já veio o reino”
A. ALELUIA, ALELUIA, ALELUIA.

ALELUIA, ALELUIA, ALELUIA.
S. Eusoua vide e vós os ramos.

Quem permanece em Mim, e Eu nele,

dará muito fruto
A. ALELUIA...

201","https://media.ressuscitou.pt/book/aclamacao_ao_evangelho_aleluia.png","Liturgia"
"Aclamação ao Evangelho – Aleluia Pascal","202 Ri ] |
Tempo Pascal

S1. Cristo Jesus ressuscitou.

Al. ALELUIA, ALELUIA, ALELUIA.

S2. Cristo Jesus ressuscitou.

A2. ALELUIA, ALELUIA, ALELUIA.

S3. Cristo Jesus é o Senhor.

A3. ALELUIA, ALELUIA, ALELUIA.

A1. ALELUIA, ALELUIA, ALELUIA.

A2. ALELUIA, ALELUIA, ALELUIA.

A3. ALELUIA, ALELUIA, ALELUIA.

Canta-se a 3 vozes repetindo os aleluias 3 vezes e entrando uma voz de cada vez (Al, AZ e A3).

202","https://media.ressuscitou.pt/book/aclamacao_ao_evangelho_aleluia_pascal.png","Liturgia"
"Aclamação ao Evangelho – Quaresma","203
Apropriado para o tempo da Quaresma
A parte do solista após o refrão é cantada com Cantado com a melodia do “Aleluia: Modelo 1”
a melodia do aleluia: modelo 1
S. Glória a Vós, 6 Cristo, S. Glória ao Senhor, glória ao Senhor,
Rei da eterna glória, glória ao Senhor, glória ao Senhor,
Rei da eterna glória. glória ao Senhor.
A. GLÓRIAA VÓS, Ó CRISTO, A. GLÓRIA AO SENHOR, GLÓRIA AO SENHOR,
REI DA ETERNA GLÓRIA, GLÓRIA AO SENHOR, GLÓRIA AO SENHOR,
REI DA ETERNA GLÓRIA. GLÓRIA AO SENHOR.
j : | E
S. Eusoua vide e vós os ramos. S. No esplendor da nuvem,
Quem permanece em Mim, e Eu nele, ouviu-se a voz do Pai:
dará muito fruto. “Este é o meu Filho amado, escutai-O.
Este é o meu Filho amado, escutai-O”.
A. GLÓRIAA VÓS, Ó CRISTO...
A. GLÓRIA AO SENHOR...
Pode ser utilizado o refrão do Domingo correspondente
203","https://media.ressuscitou.pt/book/aclamacao_ao_evangelho_quaresma.png","Liturgia"
"Akedah","15
Do Targum Neofiti sobre o sacrifício de Isaac - Génesis 22,1-19
S. Era ainda noite quando Abraão S. Vinde e vede a fé sobre a terra,
se dispunha a sacrificar o seu filho. vinde e vede a fé sobre a terra,
Os dois olhavam-se fixamente o pai que sacrifica o seu filho, o
quando lhe disse Isaac: e o filho querido que lhe oferece o seu pescoço.
A. AKEDAH, AKEDAH, AKEDAH, AKEDAH! A. AKEDAH...
AKEDAH, AKEDAH, AKEDAH, AKEDAH!
S. Ata-me, ata-me forte, ó meu pai,
não aconteça que por medo eu resista,
e não seja válido o teu sacrifício,
e os dois sejamos rejeitados.
A. AKEDAH...
S. Ata-me, ata-me forte,
ó meu pai, (BIS A)
para que eu não resista.
|
HH
15","https://media.ressuscitou.pt/book/akedah.png","Branco|Penitencial|Laudes|Páscoa - Pentecostes|Fração do Pão"
"Aleluia, bendizei o Senhor","| 17
Salmo 134 (133)
Travessão: 2.º trasto
A. ALELU, ALELU, ALE E LUU IA,
ALELU, ALELU, ALE E LU U IA.
S. Bendizei o Senhor, bendizei o Senhor,
Vós, Os servos do Senhor,
bendizei o Senhor, bendizei o Senhor,
vós que estais na casa do Senhor!
Levantai as vossas mãos, levantai as vossas mãos
e bendizei o Senhor,
vós que estais na casa do Senhor
durante a noite!
A. ALELUIA, ALELUIA, A À LE E LUUIA,
ALELUIA, ALELUIA, A À LE E LU UA.
ALELU, ALELU, ALE E LUUIA,
ALELU, ALELU, ALE E LUUIA.
A. BENDIZEI O SENHOR...
A. ALELUIA, ALELUIA...
S. Aalelu, alelu uuu ... uuia.
17","https://media.ressuscitou.pt/book/aleluia_bendizei_o_senhor.png","Branco|Páscoa - Pentecostes|Paz"
"Aleluia, já veio o reino","18 | |
Apocalipse 19, 6-9
A. ALELUIA, ALELUIA, ALELUIA. |
ALELUIA, ALELUIA, ALELUIA.
S. Jáveio o Reino do Senhor e seu Cristo.
Já veio o Reino do Senhor nosso Deus. |
A. ALELUIA...
S. Dêmos-Lhe glória, já chegaram as bodas.
Dêmos-Lhe glória, as bodas com o nosso Deus.
A. ALELUIA...
S. Bem-aventurados os convidados às bodas,
às bodas do Cordeiro. o
Bem-aventurados os convidados às bodas,
às bodas com o Senhor. |
A. ALELUIA...
18","https://media.ressuscitou.pt/book/aleluia_ja_veio_o_reino.png","Branco|Laudes|Comunhão|Aclamação|Salmodia"
"Aleluia, louvai o Senhor","19
Salmo 150
A. ALELUIA, ALELUIA, ALELUIA. S. Louvai-O com címbalos sonoros,
= I
ALELUIA, ALELUIA, ALELUIA. louvai-O com címbalos retumbantes.
S. Louvai o Senhor no seu santuário, A. TUDO O QUE VIVE LOUVE O SENHOR,
louvai-O no alto firmamento. LOUVE, LOUVE O SENHOR.
Louvai-O por suas obras poderosas,
louvai-O por sua imensa grandeza. A. ALELUIA...
A. ALELUIA...
S. Louvai-O ao som da trombeta,
louvai-O com harpas e guitarras,
louvai-O com danças e tambores,
louvai-O com cítaras e flautas.
A. ALELUIA...
19","https://media.ressuscitou.pt/book/aleluia_louvai_o_senhor.png","Branco|Final|Laudes|Páscoa - Pentecostes|Aclamação|Salmodia"
"Alçai, ó portas","16 |
Salmo 24 (23)

S. Do Senhor é a terra, S. ÉEleo Reida glória.

A. DO SENHOR É A TERRA, A. OREIDA GLÓRIA.

S. e tudo aquilo que contém,

A. E TUDO AQUILO QUE CONTÉM, A. ALÇAI, Ó PORTAS...

S. o mundo e os seus habitantes.

| S. Quem subirá ao monte do Senhor?

A. ALÇAI, Ó PORTAS, A. QUEM SUBIRÁ AO MONTE DO SENHOR?
OS VOSSOS DINTÉIS, S. o de mãos inocentes e puro coração.
PORTAS ETERNAS, A. O DE MÃOS INOCENTES
VAI ENTRAR O REI DA GLÓRIA, E PURO CORAÇÃO.

DA GLÓRIA! S. O que não leva a sua vida na vaidade.
| A. NAVAIDADE.

S. Quem é esse Rei da glória?

A. QUEM É ESSE REI DA GLÓRIA? S. E nós somos a sua Igreja,

S. O Senhor, o forte, o herói. A. ENÓS SOMOS A SUA IGREJA,

A. O SENHOR, O FORTE, O HERÓI. S. que hoje vem à tua presença,

S. O Senhor, poderoso na batalha. A. QUE HOJE VEM À TUA PRESENÇA,

A. PODEROSO NA BATALHA. S. que procura o teu rosto, ó Deus de Jacob,

A. Ó DEUS DE JACOB.

S. O Senhor dos Exércitos.

A. O SENHOR DOS EXÉRCITOS. A. ALÇAI, Ó PORTAS...

16","https://media.ressuscitou.pt/book/alcai_o_portas.png","Branco|Entrada"
"Amen, amen, amen","20
Apocalipse 7, 12-14
A. AMEN, AMEN, AMEN A. ESTES SÃO OS QUE VÊM
AMEN, AMEN, AMEN DA GRANDE TRIBULAÇÃO.
AMEN, AMEN, AMEN.
| ESTES SÃO OS QUE VÊM
S. Bênção e glória, sabedoria, DA GRANDE TRIBULAÇÃO.
acção de graças dêmos a Deus.
E LAVARAM AS SUAS TÚNICAS
A. AMEN, AMEN, AMEN ... EAS BRANQUEARAM
NO SANGUE DO CORDEIRO,
S. Honra e poder e fortaleza. NO SANGUE DO CORDEIRO.
Honra e poder, dêmos a Deus.
A. ESTES SÃO OS QUE VÊM...
A. BÊNÇÃO E GLÓRIA, SABEDORIA,
ACÇÃO DE GRAÇAS DÊMOS A DEUS. A. AMEN, AMEN, AMEN ...
AMEN, AMEN, AMEN ...
S. Quem são e donde vêm?
A. QUEM SÃO E DONDE VÊM?
20","https://media.ressuscitou.pt/book/amen_amen_amen.png","Branco|Entrada|Aclamação"
"Amo o Senhor","| 21
Salmo 116 (114-115)
S. Amoo Senhor, S. Tinha fé mesmo quando dizia:
porque escuta a minha voz suplicante, “Eu sou um desgraçado!”
inclina o seu ouvido para mim E pensava na minha angústia:
|

no dia em que O invoco. “Todo o homem é falso”.
Envolviam-me redes de morte, Como pagarei ao Senhor
alcançaram-me os laços do inferno; todo o bem que me fez?
rodeavam-me tristeza e angústia, Levantarei o cálice da bênção
invoquei o nome do Senhor: e invocarei o nome do Senhor.
“Rogo-Te, Senhor, salva-me!”

A. RETORNA, Ó MINHA ALMA...

A. RETORNA, Ó MINHA ALMA, AO TEU REPOUSO,
PORQUE O SENHOR FOI BOM PARA CONTIGO.
ELE SALVOU-TE DA MORTE,
PRESERVOU OS TEUS PÉS DA QUEDA.
ELE SALVOU-TE DA MORTE,
PRESERVOU OS TEUS PÉS DA QUEDA.
21","https://media.ressuscitou.pt/book/amo_o_senhor.png","Branco|Penitencial|Laudes"
"Anáfora penitencial","204 |
Oração conclusiva de acção de graças para a celebração penitencial
o Senhor esteja convosco! Tu derramaste em nossos corações
A. ELE ESTÁ NO MEIO DE NÓS! o Espírito Santo,
""Corações ao alto! para sermos teus filhos e herdeiros.
A. O NOSSO CORAÇÃO ESTÁ EM DEUS!
Tu nos renovas pela força do Evangelho
| Dêmos graças ao Senhor nosso Deus. e dos Sacramentos.
A. É NOSSO DEVER,
É NOSSA SALVAÇÃO. | (na) - Tunos livras
da escravidão do pecado
, (BIS A)
| Senhor, Senhor, Pai santo, e nos transformas, dia a dia,
é verdadeiramente nosso dever, é nossa salvação, na imagem do teu Filho.
dar-Te graças sempre e em toda a parte
a Ti, Deus Pai, omnipotente e misericordioso, | Louvamos e bendizemos o teu nome
que admiravelmente criastes o homem | e damos-Te graças pelas maravilhas
e mais admiravelmente fizeste nele uma nova criação. da tua misericórdia.
Tu não abandonas o pecador, E com os anjos e os santos cantamos,
mas o chamas com a força do teu amor: cantamos o hino da tua glória:
Tu enviaste ao mundo o teu Filho,
para destruir o pecado e a morte, o Sar 7 ;
e na sua ressurreição A. SANTO, SANTO, SANTO...
nos devolveste a vida e a alegria.
204","https://media.ressuscitou.pt/book/anafora_penitencial.png","Liturgia"
"Ao despertar, me saciarei do teu rosto, Senhor","Salmo 17 (16)
Travessão: 2.º trasto
A. AO DESPERTAR, A. AO DESPERTAR...
ME SACIAREI DO TEU ROSTO, SENHOR.
AO DESPERTAR, S. ATieuinvoco, Senhor,
ME SACIAREI DO TEU ROSTO, SENHOR. concede-me, Senhor, uma resposta,
mostra-me os prod ígios do teu amor.

S. Escuta, Senhor, a minha oração, Porque Tu salvas o que confia em Ti,
atende, Senhor, o meu clamor. porque Tu ajudas o que se refugia à tua direita.
Presta ouvidos à minha súplica; Como a pupila dos teus olhos, guarda-me,

|
os meus lábios não atraiçoam, Senhor, à sombra das tuas asas, esconde-me,
saia de Ti a sentença. olha que querem matar-me.
Porque os teus olhos vêem,
A. AO DESPERTAR...
os teus olhos vêem a rectidão.
S. Olha-os, estão fechados no seu orgulho;
A. AO DESPERTAR...
falam, a arrogância está na sua boca.
> Ê Avançam contra mim, avançam contra mim.
S. Perscruta, Senhor, o meu coração,
> Ajuda-me Tu, ó Senhor,

perscruta-o de noite, Senhor,

livra-me dos homens deste mundo,
prova-me ao crisol, prova-me ao crisol;

dos homens cujo prémio é esta vida.
porque Tu sabes que não há malícia em mim, E

i Enche-os dos teus bens, Senhor,
minha boca não mente como fazem os homens; ]
: enche o seu ventre e que seus filhos se saciem.

pois guardei a tua palavra,

Que eu, ao despertar, que eu, por teu amor,
evitei os caminhos do violento, ;

; me saciarei do teu rosto, Senhor.
pelas tuas pegadas guiei os meus passos,
e não vacilarei, e não vacilarei. A. AO DESPERTAR...
22","https://media.ressuscitou.pt/book/ao_despertar_me_saciarei_do_teu_rosto_senhor.png","Branco|Penitencial|Laudes"
